keyword,canonical_form,cluster_id,freq
Barriers,Barriers,Barriers,133
Business models,Business models,Business models,70
Circular economy,Circular economy,Circular economy,9052
Enablers,Enablers,Enablers,36
EU,EU,EU,24
Pioneers,Pioneers,Pioneers,1
SME,SME,SME,21
Start-ups,Start-ups,Start-ups,4
Nanocellulose,Nanocellulose,Nanocellulose,24
"Silica nanoparticle, titania nanoparticles","Silica nanoparticle, titania nanoparticles","Silica nanoparticle, titania nanoparticles",1
"Waterborne coating, aesthetic wood","Waterborne coating, aesthetic wood","Waterborne coating, aesthetic wood",1
Wood coatings,Wood coatings,Wood coatings,2
Biodepolymerization,Biodepolymerization,Biodepolymerization,1
Cutinase,Cutinase,Cutinase,4
Monomer recovery,Monomer recovery,Monomer recovery,4
PET hydrolase,PET hydrolase,PET hydrolase,4
Poly(ethylene terephthalate),Poly(ethylene terephthalate),Poly(ethylene terephthalate),7
Recycling,Recycling,Recycling,1005
Circular innovation,Circular innovation,Circular innovation,6
Crowdsourcing,Crowdsourcing,Crowdsourcing,2
Network,Network,Network,5
Open circular innovation,Open circular innovation,Open circular innovation,1
Open innovation,Open innovation,Open innovation,9
Stakeholder collaboration,Stakeholder collaboration,Stakeholder collaboration,4
Geopolymer adsorbent,Geopolymer adsorbent,Geopolymer adsorbent,1
Geopolymer composite,Geopolymer composite,Geopolymer composite,1
Geopolymers,Geopolymers,Geopolymers,18
Heavy metal removal,Heavy metal removal,Heavy metal removal,4
Nutrient recovery,Nutrient recovery,Nutrient recovery,97
Wastewater,Wastewater,Wastewater,172
Water treatment,Water treatment,Water treatment,42
circular economy,circular economy,circular economy,4432
EU-28,EU-28,EU-28,2
hybrid input-output,hybrid input-output,hybrid input-output,1
industrial ecology,industrial ecology,industrial ecology,194
material flows,material flows,material flows,5
plastic packaging,plastic packaging,plastic packaging,14
Adsorption wastewater treatment,Adsorption wastewater treatment,Adsorption wastewater treatment,1
Alternative adsorbents,Alternative adsorbents,Alternative adsorbents,2
Biological sludge,Biological sludge,Biological sludge,1
Tertiary treatment of effluents,Tertiary treatment of effluents,Tertiary treatment of effluents,1
Waste-to-resource,Waste-to-resource,Waste-to-resource,11
anaerobic digestion,anaerobic digestion,anaerobic digestion,89
biofuels,biofuels,biofuels,28
composting,composting,composting,41
ethanol,ethanol,ethanol,6
hydrogen,hydrogen,hydrogen,25
methane,methane,methane,15
water hyacinth,water hyacinth,water hyacinth,1
Bio-oil,Bio-oil,Bio-oil,17
Desulphurisation,Desulphurisation,Desulphurisation,1
Energy,Energy,Energy,80
Plastic,Plastic,Plastic,57
Pyrolysis,Pyrolysis,Pyrolysis,219
Waste tires,Waste tires,Waste tires,9
Cr-Al-Fe oxides additives,Cr-Al-Fe oxides additives,Cr-Al-Fe oxides additives,1
Magnesite ore by-products,Magnesite ore by-products,Magnesite ore by-products,1
Refractory properties,Refractory properties,Refractory properties,1
Serpentinized mining waste,Serpentinized mining waste,Serpentinized mining waste,1
Thermal treatment,Thermal treatment,Thermal treatment,17
Copernicus,Copernicus,Copernicus,1
Critical raw materials,Critical raw materials,Critical raw materials,45
Exploration,Exploration,Exploration,3
Ground instability,Ground instability,Ground instability,1
Mineral resources,Mineral resources,Mineral resources,11
Mining residuals,Mining residuals,Mining residuals,1
Sentinel,Sentinel,Sentinel,1
Small-scale mining,Small-scale mining,Small-scale mining,2
Delphi study,Delphi study,Delphi study,9
extended producer responsibility,extended producer responsibility,extended producer responsibility,28
recycling,recycling,recycling,548
The Netherlands,The Netherlands,The Netherlands,12
Anaerobic digestion,Anaerobic digestion,Anaerobic digestion,270
Biomass characterization,Biomass characterization,Biomass characterization,1
Brewery spent grains,Brewery spent grains,Brewery spent grains,2
Revaluation of wastes,Revaluation of wastes,Revaluation of wastes,1
Environmental business,Environmental business,Environmental business,1
Industry 4.0,Industry 4.0,Industry 4.0,330
Societal change,Societal change,Societal change,2
Sustainable production,Sustainable production,Sustainable production,50
System dynamics,System dynamics,System dynamics,43
content analysis,content analysis,content analysis,9
corporate social responsibility,corporate social responsibility,corporate social responsibility,24
literature review,literature review,literature review,42
reporting framework,reporting framework,reporting framework,1
sustainable development,sustainable development,sustainable development,319
Food loss,Food loss,Food loss,14
Food waste,Food waste,Food waste,233
Systematic literature review,Systematic literature review,Systematic literature review,91
Architecture,Architecture,Architecture,6
Bio materials,Bio materials,Bio materials,1
Digital planning processes,Digital planning processes,Digital planning processes,1
Fungal architecture,Fungal architecture,Fungal architecture,1
Circular Economy,Circular Economy,Circular Economy,530
Heterogeneous Equilibrium Model,Heterogeneous Equilibrium Model,Heterogeneous Equilibrium Model,1
Solvent Extraction,Solvent Extraction,Solvent Extraction,1
Spent Lithium-ion Batteries recycling,Spent Lithium-ion Batteries recycling,Spent Lithium-ion Batteries recycling,1
blockchain technology,blockchain technology,blockchain technology,17
circular economy practices,circular economy practices,circular economy practices,24
organizational performance,organizational performance,organizational performance,6
structural equation modeling,structural equation modeling,structural equation modeling,9
Bioenergy,Bioenergy,Bioenergy,134
Cogeneration,Cogeneration,Cogeneration,7
Gasification,Gasification,Gasification,53
Life cycle assessment,Life cycle assessment,Life cycle assessment,562
Wood chips,Wood chips,Wood chips,1
Content analysis,Content analysis,Content analysis,23
Critical review,Critical review,Critical review,8
End-of-life tires,End-of-life tires,End-of-life tires,3
Engineering applications,Engineering applications,Engineering applications,2
Network design,Network design,Network design,11
Regulations review,Regulations review,Regulations review,1
Treatment review,Treatment review,Treatment review,1
