pair_id,stratum,gold_label,pred_full_dag,pred_b6,error_category,b6_error_category,confidence,guard_applied
BP0331,vii,non_match,non_match,non_match,TN,TN,0.99,
BP0346,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0249,v,match,match,match,TP,TP,0.95,
BP0110,iii,match,non_match,non_match,FN,FN,0.85,
BP0372,vii,non_match,non_match,non_match,TN,TN,0.85,
BP0120,iii,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0139,iii,match,match,match,TP,TP,0.95,
BP0061,ii,non_match,non_match,non_match,TN,TN,0.92,
BP0144,iv,match,match,match,TP,TP,0.95,
BP0486,x,non_match,non_match,non_match,TN,TN,0.95,
BP0232,v,match,match,match,TP,TP,0.99,
BP0103,iii,match,match,match,TP,TP,0.95,
BP0433,viii,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0396,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0414,viii,non_match,non_match,non_match,TN,TN,0.85,
BP0440,viii,non_match,non_match,non_match,TN,TN,0.99,
BP0361,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0301,vi,non_match,non_match,non_match,TN,TN,0.75,
BP0261,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0299,vi,non_match,non_match,non_match,TN,TN,0.95,
BP0420,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0241,v,match,match,match,TP,TP,0.95,
BP0356,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0490,x,non_match,non_match,non_match,TN,TN,0.95,
BP0487,x,non_match,non_match,non_match,TN,TN,0.92,
BP0252,vi,non_match,non_match,match,TN,FP,0.85,
BP0483,x,non_match,non_match,non_match,TN,TN,0.95,
BP0500,x,non_match,non_match,match,TN,FP,0.85,
BP0266,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0085,ii,non_match,non_match,non_match,TN,TN,0.92,
BP0238,v,match,match,match,TP,TP,0.95,
BP0262,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0163,iv,match,match,match,TP,TP,0.95,
BP0367,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0167,iv,match,match,non_match,TP,FN,0.95,
BP0189,ix,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.85,
BP0375,vii,non_match,non_match,non_match,TN,TN,0.99,
BP0289,vi,non_match,non_match,non_match,TN,TN,0.95,
